"90","401","0","FBIS3-18813","1"
"97","401","0","FBIS3-18943","1"
"102","401","0","FBIS3-19032","1"
"104","401","0","FBIS3-19038","1"
"108","401","0","FBIS3-19107","1"
"124","401","0","FBIS3-19400","1"
"153","401","0","FBIS3-19756","1"
"154","401","0","FBIS3-19768","1"
"169","401","0","FBIS3-19884","1"
"171","401","0","FBIS3-19895","1"
"172","401","0","FBIS3-19897","1"
"187","401","0","FBIS3-20085","1"
"188","401","0","FBIS3-20090","1"
"189","401","0","FBIS3-20091","1"
"197","401","0","FBIS3-20188","1"
"198","401","0","FBIS3-20189","1"
"205","401","0","FBIS3-20297","1"
"207","401","0","FBIS3-20329","1"
"222","401","0","FBIS3-21493","1"
"229","401","0","FBIS3-23018","1"
"233","401","0","FBIS3-23446","1"
"234","401","0","FBIS3-23448","1"
"402","401","0","FBIS3-38302","1"
"409","401","0","FBIS3-38475","1"
"415","401","0","FBIS3-38593","1"
"436","401","0","FBIS3-38984","1"
"437","401","0","FBIS3-39017","1"
"444","401","0","FBIS3-39240","1"
"449","401","0","FBIS3-39366","1"
"451","401","0","FBIS3-39431","1"
"454","401","0","FBIS3-39462","1"
"472","401","0","FBIS3-39889","1"
"478","401","0","FBIS3-39928","1"
"505","401","0","FBIS3-42250","1"
"653","401","0","FBIS3-54880","1"
"669","401","0","FBIS3-56415","1"
"681","401","0","FBIS3-57906","1"
"683","401","0","FBIS3-57960","1"
"687","401","0","FBIS3-58007","1"
"690","401","0","FBIS3-58037","1"
"694","401","0","FBIS3-58103","1"
"708","401","0","FBIS3-58523","1"
"711","401","0","FBIS3-5864","1"
"717","401","0","FBIS3-58776","1"
"720","401","0","FBIS3-58832","1"
"729","401","0","FBIS3-59030","1"
"733","401","0","FBIS3-59042","1"
"734","401","0","FBIS3-59055","1"
"736","401","0","FBIS3-59128","1"
"765","401","0","FBIS3-60884","1"
"766","401","0","FBIS3-60900","1"
"768","401","0","FBIS3-60973","1"
"769","401","0","FBIS3-60975","1"
"782","401","0","FBIS3-61336","1"
"873","401","0","FBIS4-18119","1"
"877","401","0","FBIS4-18220","1"
"880","401","0","FBIS4-18226","1"
"882","401","0","FBIS4-18303","1"
"891","401","0","FBIS4-18593","1"
"895","401","0","FBIS4-18601","1"
"899","401","0","FBIS4-18642","1"
"901","401","0","FBIS4-18670","1"
"902","401","0","FBIS4-18760","1"
"903","401","0","FBIS4-18764","1"
"904","401","0","FBIS4-18886","1"
"910","401","0","FBIS4-19128","1"
"915","401","0","FBIS4-19200","1"
"916","401","0","FBIS4-19210","1"
"917","401","0","FBIS4-19238","1"
"922","401","0","FBIS4-19325","1"
"923","401","0","FBIS4-19347","1"
"926","401","0","FBIS4-19519","1"
"931","401","0","FBIS4-19630","1"
"932","401","0","FBIS4-19631","1"
"939","401","0","FBIS4-19739","1"
"940","401","0","FBIS4-19744","1"
"941","401","0","FBIS4-19854","1"
"951","401","0","FBIS4-20219","1"
"964","401","0","FBIS4-20871","1"
"967","401","0","FBIS4-21111","1"
"970","401","0","FBIS4-21613","1"
"972","401","0","FBIS4-21817","1"
"973","401","0","FBIS4-21941","1"
"976","401","0","FBIS4-22022","1"
"1101","401","0","FBIS4-42221","1"
"1108","401","0","FBIS4-42388","1"
"1109","401","0","FBIS4-42393","1"
"1111","401","0","FBIS4-42467","1"
"1117","401","0","FBIS4-42631","1"
"1120","401","0","FBIS4-42709","1"
"1143","401","0","FBIS4-4355","1"
"1148","401","0","FBIS4-43789","1"
"1152","401","0","FBIS4-43888","1"
"1160","401","0","FBIS4-44306","1"
"1175","401","0","FBIS4-45235","1"
"1176","401","0","FBIS4-46177","1"
"1296","401","0","FBIS4-64258","1"
"1303","401","0","FBIS4-64475","1"
"1304","401","0","FBIS4-64476","1"
"1306","401","0","FBIS4-64567","1"
"1311","401","0","FBIS4-64742","1"
"1312","401","0","FBIS4-64743","1"
"1314","401","0","FBIS4-64781","1"
"1320","401","0","FBIS4-64903","1"
"1321","401","0","FBIS4-64960","1"
"1327","401","0","FBIS4-65051","1"
"1331","401","0","FBIS4-65098","1"
"1337","401","0","FBIS4-65273","1"
"1342","401","0","FBIS4-65395","1"
"1343","401","0","FBIS4-65433","1"
"1344","401","0","FBIS4-65434","1"
"1345","401","0","FBIS4-65437","1"
"1347","401","0","FBIS4-65444","1"
"1350","401","0","FBIS4-65502","1"
"1351","401","0","FBIS4-65506","1"
"1352","401","0","FBIS4-65507","1"
"1353","401","0","FBIS4-65508","1"
"1355","401","0","FBIS4-65539","1"
"1356","401","0","FBIS4-65540","1"
"1357","401","0","FBIS4-65614","1"
"1359","401","0","FBIS4-65675","1"
"1360","401","0","FBIS4-65680","1"
"1361","401","0","FBIS4-65681","1"
"1364","401","0","FBIS4-65874","1"
"1376","401","0","FBIS4-66054","1"
"1448","401","0","FBIS4-8586","1"
"1457","401","0","FBIS4-9068","1"
"1596","401","0","FT911-2806","1"
"1611","401","0","FT921-13188","1"
"1615","401","0","FT921-13797","1"
